CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
RLF	RLF	RLF	RLF	RLF
ZMPSTE24	ZMPSTE24	ZMPSTE24	ZMPSTE24	ZMPSTE24
COL9A2	COL9A2	COL9A2	COL9A2	COL9A2
SMAP2	SMAP2	SMAP2	SMAP2	SMAP2
ZNF643	ZFP69B	ZFP69B	ZFP69B	ZFP69B
DEM1	EXO5	EXO5	EXO5	EXO5
ZNF684	ZNF684	ZNF684	ZNF684	ZNF684
NFYC	NFYC	NFYC	NFYC	NFYC
KCNQ4	KCNQ4	KCNQ4	KCNQ4	KCNQ4
CITED4	CITED4	CITED4	CITED4	CITED4
CTPS1	CTPS1	CTPS1	CTPS1	CTPS1
SLFNL1	SLFNL1	SLFNL1	SLFNL1	SLFNL1
SCMH1	SCMH1	SCMH1	SCMH1	SCMH1
EDN2	EDN2	EDN2	EDN2	EDN2
HIVEP3	HIVEP3	HIVEP3	HIVEP3	HIVEP3
GUCA2B	GUCA2B	GUCA2B	GUCA2B	GUCA2B
GUCA2A	GUCA2A	GUCA2A	GUCA2A	GUCA2A
RIMKLA	RIMKLA	RIMKLA	RIMKLA	RIMKLA
ZMYND12	ZMYND12	ZMYND12	ZMYND12	ZMYND12
PPIH	PPIH	PPIH	PPIH	PPIH
YBX1	YBX1	YBX1	YBX1	YBX1
CLDN19	CLDN19	CLDN19	CLDN19	CLDN19
LEPRE1	LEPRE1	LEPRE1	LEPRE1	LEPRE1
C1orf50	C1orf50	C1orf50	C1orf50	C1orf50
CCDC23	CCDC23	CCDC23	CCDC23	CCDC23
ERMAP	ERMAP	ERMAP	ERMAP	ERMAP
ZNF691	ZNF691	ZNF691	ZNF691	ZNF691
SLC2A1	SLC2A1	SLC2A1	SLC2A1	SLC2A1
EBNA1BP2	EBNA1BP2	EBNA1BP2	EBNA1BP2	EBNA1BP2
WDR65	WDR65	WDR65	WDR65	WDR65
TMEM125	TMEM125	TMEM125	TMEM125	TMEM125
C1orf210	C1orf210	C1orf210	C1orf210	C1orf210
TIE1	TIE1	TIE1	TIE1	TIE1
MPL	MPL	MPL	MPL	MPL
CDC20	CDC20	CDC20	CDC20	CDC20
ELOVL1	ELOVL1	ELOVL1	ELOVL1	ELOVL1
MED8	MED8	MED8	MED8	MED8
HYI	HYI	HYI	HYI	HYI
PTPRF	PTPRF	PTPRF	PTPRF	PTPRF
KDM4A	KDM4A	KDM4A	KDM4A	KDM4A
ST3GAL3	ST3GAL3	ST3GAL3	ST3GAL3	ST3GAL3
ARTN	ARTN	ARTN	ARTN	ARTN
IPO13	IPO13	IPO13	IPO13	IPO13
DPH2	DPH2	DPH2	DPH2	DPH2
ATP6V0B	ATP6V0B	ATP6V0B	ATP6V0B	ATP6V0B
B4GALT2	B4GALT2	B4GALT2	B4GALT2	B4GALT2
CCDC24	CCDC24	CCDC24	CCDC24	CCDC24
KLF17	KLF17	KLF17	KLF17	KLF17
DMAP1	DMAP1	DMAP1	DMAP1	DMAP1
RNF220	RNF220	RNF220	RNF220	RNF220
TMEM53	TMEM53	TMEM53	TMEM53	TMEM53
KIF2C	KIF2C	KIF2C	KIF2C	KIF2C
RPS8	RPS8	RPS8	RPS8	RPS8
BEST4	BEST4	BEST4	BEST4	BEST4
PLK3	PLK3	PLK3	PLK3	PLK3
PTCH2	PTCH2	PTCH2	PTCH2	PTCH2
EIF2B3	EIF2B3	EIF2B3	EIF2B3	EIF2B3
UROD	UROD	UROD	UROD	UROD
HPDL	HPDL	HPDL	HPDL	HPDL
MUTYH	MUTYH	MUTYH	MUTYH	MUTYH
TOE1	TOE1	TOE1	TOE1	TOE1
PRDX1	PRDX1	PRDX1	PRDX1	PRDX1
AKR1A1	AKR1A1	AKR1A1	AKR1A1	AKR1A1
NASP	NASP	NASP	NASP	NASP
GPBP1L1	GPBP1L1	GPBP1L1	GPBP1L1	GPBP1L1
PIK3R3	PIK3R3	PIK3R3	PIK3R3	PIK3R3
TSPAN1	TSPAN1	TSPAN1	TSPAN1	TSPAN1
POMGNT1	POMGNT1	POMGNT1	POMGNT1	POMGNT1
RAD54L	RAD54L	RAD54L	RAD54L	RAD54L
LRRC41	LRRC41	LRRC41	LRRC41	LRRC41
NSUN4	NSUN4	NSUN4	NSUN4	NSUN4
FAAH	FAAH	FAAH	FAAH	FAAH
DMBX1	DMBX1	DMBX1	DMBX1	DMBX1
MKNK1	MKNK1	MKNK1	MKNK1	MKNK1
MOB3C	MOB3C	MOB3C	MOB3C	MOB3C
ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1
CYP4B1	CYP4B1	CYP4B1	CYP4B1	CYP4B1
CYP4A11	CYP4A11	CYP4A11	CYP4A11	CYP4A11
CYP4X1	CYP4X1	CYP4X1	CYP4X1	CYP4X1
CYP4Z1	CYP4Z1	CYP4Z1	CYP4Z1	CYP4Z1
PDZK1IP1	PDZK1IP1	PDZK1IP1	PDZK1IP1	PDZK1IP1
TAL1	TAL1	TAL1	TAL1	TAL1
STIL	STIL	STIL	STIL	STIL
CMPK1	CMPK1	CMPK1	CMPK1	CMPK1
FOXE3	FOXE3	FOXE3	FOXE3	FOXE3
SPATA6	SPATA6	SPATA6	SPATA6	SPATA6
BEND5	BEND5	BEND5	BEND5	BEND5
ELAVL4	ELAVL4	ELAVL4	ELAVL4	ELAVL4
FAF1	FAF1	FAF1	FAF1	FAF1
