CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
CDKN2C	CDKN2C	CDKN2C	CDKN2C	CDKN2C
RNF11	RNF11	RNF11	RNF11	RNF11
EPS15	EPS15	EPS15	EPS15	EPS15
OSBPL9	OSBPL9	OSBPL9	OSBPL9	OSBPL9
NRD1	NRD1	NRD1	NRD1	NRD1
RAB3B	RAB3B	RAB3B	RAB3B	RAB3B
TXNDC12	TXNDC12	TXNDC12	TXNDC12	TXNDC12
KTI12	KTI12	KTI12	KTI12	KTI12
ZFYVE9	ZFYVE9	ZFYVE9	ZFYVE9	ZFYVE9
ORC1	ORC1	ORC1	ORC1	ORC1
PRPF38A	PRPF38A	PRPF38A	PRPF38A	PRPF38A
GPX7	GPX7	GPX7	GPX7	GPX7
SELRC1	SELRC1	SELRC1	SELRC1	SELRC1
ECHDC2	ECHDC2	ECHDC2	ECHDC2	ECHDC2
SCP2	SCP2	SCP2	SCP2	SCP2
PODN	PODN	PODN	PODN	PODN
SLC1A7	SLC1A7	SLC1A7	SLC1A7	SLC1A7
CPT2	CPT2	CPT2	CPT2	CPT2
C1orf123	C1orf123	C1orf123	C1orf123	C1orf123
MAGOH	MAGOH	MAGOH	MAGOH	MAGOH
LRP8	LRP8	LRP8	LRP8	LRP8
DMRTB1	DMRTB1	DMRTB1	DMRTB1	DMRTB1
GLIS1	GLIS1	GLIS1	GLIS1	GLIS1
TMEM48	TMEM48	NDC1	NDC1	NDC1
YIPF1	YIPF1	YIPF1	YIPF1	YIPF1
LRRC42	LRRC42	LRRC42	LRRC42	LRRC42
TMEM59	TMEM59	TMEM59	TMEM59	TMEM59
TCEANC2	TCEANC2	TCEANC2	TCEANC2	TCEANC2
CDCP2	CDCP2	CDCP2	CDCP2	CDCP2
MRPL37	MRPL37	MRPL37	MRPL37	MRPL37
SSBP3	SSBP3	SSBP3	SSBP3	SSBP3
ACOT11	ACOT11	ACOT11	ACOT11	ACOT11
FAM151A	FAM151A	FAM151A	FAM151A	FAM151A
TTC4	TTC4	TTC4	TTC4	TTC4
PARS2	PARS2	PARS2	PARS2	PARS2
TTC22	TTC22	TTC22	TTC22	TTC22
C1orf177	C1orf177	C1orf177	C1orf177	C1orf177
DHCR24	DHCR24	DHCR24	DHCR24	DHCR24
TMEM61	TMEM61	TMEM61	TMEM61	TMEM61
BSND	BSND	BSND	BSND	BSND
PCSK9	PCSK9	PCSK9	PCSK9	PCSK9
PPAP2B	PPAP2B	PPAP2B	PPAP2B	PPAP2B
PRKAA2	PRKAA2	PRKAA2	PRKAA2	PRKAA2
C8A	C8A	C8A	C8A	C8A
DAB1	DAB1	DAB1	DAB1	DAB1
OMA1	OMA1	OMA1	OMA1	OMA1
TACSTD2	TACSTD2	TACSTD2	TACSTD2	TACSTD2
JUN	JUN	JUN	JUN	JUN
FGGY	FGGY	FGGY	FGGY	FGGY
HOOK1	HOOK1	HOOK1	HOOK1	HOOK1
CYP2J2	CYP2J2	CYP2J2	CYP2J2	CYP2J2
C1orf87	C1orf87	C1orf87	C1orf87	C1orf87
NFIA	NFIA	NFIA	NFIA	NFIA
INADL	INADL	INADL	INADL	INADL
L1TD1	L1TD1	L1TD1	L1TD1	L1TD1
KANK4	KANK4	KANK4	KANK4	KANK4
USP1	USP1	USP1	USP1	USP1
ANGPTL3	ANGPTL3	ANGPTL3	ANGPTL3	ANGPTL3
ATG4C	ATG4C	ATG4C	ATG4C	ATG4C
FOXD3	FOXD3	FOXD3	FOXD3	FOXD3
PGM1	PGM1	PGM1	PGM1	PGM1
ROR1	ROR1	ROR1	ROR1	ROR1
UBE2U	UBE2U	UBE2U	UBE2U	UBE2U
CACHD1	CACHD1	CACHD1	CACHD1	CACHD1
AK4	AK4	AK4	AK4	AK4
LEPROT	LEPROT	LEPROT	LEPROT	LEPROT
LEPR	LEPR	LEPR	LEPR	LEPR
PDE4B	PDE4B	PDE4B	PDE4B	PDE4B
TCTEX1D1	TCTEX1D1	TCTEX1D1	TCTEX1D1	TCTEX1D1
INSL5	INSL5	INSL5	INSL5	INSL5
WDR78	WDR78	WDR78	WDR78	WDR78
SLC35D1	SLC35D1	SLC35D1	SLC35D1	SLC35D1
IL23R	IL23R	IL23R	IL23R	IL23R
IL12RB2	IL12RB2	IL12RB2	IL12RB2	IL12RB2
SERBP1	SERBP1	SERBP1	SERBP1	SERBP1
GADD45A	GADD45A	GADD45A	GADD45A	GADD45A
DIRAS3	DIRAS3	DIRAS3	DIRAS3	DIRAS3
WLS	WLS	WLS	WLS	WLS
RPE65	RPE65	RPE65	RPE65	RPE65
DEPDC1	DEPDC1	DEPDC1	DEPDC1	DEPDC1
LRRC7	LRRC7	LRRC7	LRRC7	LRRC7
LRRC40	LRRC40	LRRC40	LRRC40	LRRC40
SRSF11	SRSF11	SRSF11	SRSF11	SRSF11
ANKRD13C	ANKRD13C	ANKRD13C	ANKRD13C	ANKRD13C
HHLA3	HHLA3	HHLA3	HHLA3	HHLA3
CTH	CTH	CTH	CTH	CTH
PTGER3	PTGER3	PTGER3	PTGER3	PTGER3
ZRANB2	ZRANB2	ZRANB2	ZRANB2	ZRANB2
NEGR1	NEGR1	NEGR1	NEGR1	NEGR1
FPGT	FPGT	FPGT	FPGT	FPGT
TNNI3K	TNNI3K	TNNI3K	TNNI3K	TNNI3K
CRYZ	CRYZ	CRYZ	CRYZ	CRYZ
TYW3	TYW3	TYW3	TYW3	TYW3
SLC44A5	SLC44A5	SLC44A5	SLC44A5	SLC44A5
ACADM	ACADM	ACADM	ACADM	ACADM
RABGGTB	RABGGTB	RABGGTB	RABGGTB	RABGGTB
MSH4	MSH4	MSH4	MSH4	MSH4
ASB17	ASB17	ASB17	ASB17	ASB17
ST6GALNAC3	ST6GALNAC3	ST6GALNAC3	ST6GALNAC3	ST6GALNAC3
ST6GALNAC5	ST6GALNAC5	ST6GALNAC5	ST6GALNAC5	ST6GALNAC5
PIGK	PIGK	PIGK	PIGK	PIGK
AK5	AK5	AK5	AK5	AK5
ZZZ3	ZZZ3	ZZZ3	ZZZ3	ZZZ3
USP33	USP33	USP33	USP33	USP33
FAM73A	FAM73A	FAM73A	FAM73A	FAM73A
FUBP1	FUBP1	FUBP1	FUBP1	FUBP1
DNAJB4	DNAJB4	DNAJB4	DNAJB4	DNAJB4
GIPC2	GIPC2	GIPC2	GIPC2	GIPC2
PTGFR	PTGFR	PTGFR	PTGFR	PTGFR
IFI44L	IFI44L	IFI44L	IFI44L	IFI44L
IFI44	IFI44	IFI44	IFI44	IFI44
LPHN2	LPHN2	LPHN2	LPHN2	LPHN2
TTLL7	TTLL7	TTLL7	TTLL7	TTLL7
PRKACB	PRKACB	PRKACB	PRKACB	PRKACB
DNASE2B	DNASE2B	DNASE2B	DNASE2B	DNASE2B
RPF1	RPF1	RPF1	RPF1	RPF1
GNG5	GNG5	GNG5	GNG5	GNG5
CTBS	CTBS	CTBS	CTBS	CTBS
SSX2IP	SSX2IP	SSX2IP	SSX2IP	SSX2IP
LPAR3	LPAR3	LPAR3	LPAR3	LPAR3
MCOLN3	MCOLN3	MCOLN3	MCOLN3	MCOLN3
WDR63	WDR63	WDR63	WDR63	WDR63
C1orf52	C1orf52	C1orf52	C1orf52	C1orf52
BCL10	BCL10	BCL10	BCL10	BCL10
DDAH1	DDAH1	DDAH1	DDAH1	DDAH1
CYR61	CYR61	CYR61	CYR61	CYR61
ZNHIT6	ZNHIT6	ZNHIT6	ZNHIT6	ZNHIT6
CLCA2	CLCA2	CLCA2	CLCA2	CLCA2
CLCA1	CLCA1	CLCA1	CLCA1	CLCA1
SH3GLB1	SH3GLB1	SH3GLB1	SH3GLB1	SH3GLB1
HS2ST1	HS2ST1	HS2ST1	HS2ST1	HS2ST1
LMO4	LMO4	LMO4	LMO4	LMO4
PKN2	PKN2	PKN2	PKN2	PKN2
GTF2B	GTF2B	GTF2B	GTF2B	GTF2B
RBMXL1	RBMXL1	RBMXL1	RBMXL1	RBMXL1
GBP3	GBP3	GBP3	GBP3	GBP3
GBP1	GBP1	GBP1	GBP1	GBP1
GBP2	GBP2	GBP2	GBP2	GBP2
GBP7	GBP7	GBP7	GBP7	GBP7
GBP4	GBP4	GBP4	GBP4	GBP4
GBP5	GBP5	GBP5	GBP5	GBP5
GBP6	GBP6	GBP6	GBP6	GBP6
LRRC8B	LRRC8B	LRRC8B	LRRC8B	LRRC8B
LRRC8C	LRRC8C	LRRC8C	LRRC8C	LRRC8C
LRRC8D	LRRC8D	LRRC8D	LRRC8D	LRRC8D
ZNF326	ZNF326	ZNF326	ZNF326	ZNF326
BARHL2	BARHL2	BARHL2	BARHL2	BARHL2
ZNF644	ZNF644	ZNF644	ZNF644	ZNF644
CDC7	CDC7	CDC7	CDC7	CDC7
BRDT	BRDT	BRDT	BRDT	BRDT
EPHX4	EPHX4	EPHX4	EPHX4	EPHX4
BTBD8	BTBD8	BTBD8	BTBD8	BTBD8
GLMN	GLMN	GLMN	GLMN	GLMN
RPAP2	RPAP2	RPAP2	RPAP2	RPAP2
RPL5	RPL5	RPL5	RPL5	RPL5
MTF2	MTF2	MTF2	MTF2	MTF2
TMED5	TMED5	TMED5	TMED5	TMED5
DR1	DR1	DR1	DR1	DR1
BCAR3	BCAR3	BCAR3	BCAR3	BCAR3
GCLM	GCLM	GCLM	GCLM	GCLM
ABCA4	ABCA4	ABCA4	ABCA4	ABCA4
ARHGAP29	ARHGAP29	ARHGAP29	ARHGAP29	ARHGAP29
ABCD3	ABCD3	ABCD3	ABCD3	ABCD3
F3	F3	F3	F3	F3
SLC44A3	SLC44A3	SLC44A3	SLC44A3	SLC44A3
ALG14	ALG14	ALG14	ALG14	ALG14
TMEM56	TMEM56	TMEM56	TMEM56	TMEM56
PTBP2	PTBP2	PTBP2	PTBP2	PTBP2
SNX7	SNX7	SNX7	SNX7	SNX7
LPPR4	LPPR4	LPPR4	LPPR4	LPPR4
PALMD	PALMD	PALMD	PALMD	PALMD
AGL	AGL	AGL	AGL	AGL
SLC35A3	SLC35A3	SLC35A3	SLC35A3	SLC35A3
HIAT1	HIAT1	HIAT1	HIAT1	HIAT1
SASS6	SASS6	SASS6	SASS6	SASS6
TRMT13	TRMT13	TRMT13	TRMT13	TRMT13
LRRC39	LRRC39	LRRC39	LRRC39	LRRC39
DBT	DBT	DBT	DBT	DBT
RTCA	RTCA	RTCA	RTCA	RTCA
CDC14A	CDC14A	CDC14A	CDC14A	CDC14A
GPR88	GPR88	GPR88	GPR88	GPR88
VCAM1	VCAM1	VCAM1	VCAM1	VCAM1
EXTL2	EXTL2	EXTL2	EXTL2	EXTL2
SLC30A7	SLC30A7	SLC30A7	SLC30A7	SLC30A7
S1PR1	S1PR1	S1PR1	S1PR1	S1PR1
COL11A1	COL11A1	COL11A1	COL11A1	COL11A1
RNPC3	RNPC3	RNPC3	RNPC3	RNPC3
AMY2B	AMY2B	AMY2B	AMY2B	AMY2B
AMY2A	AMY2A	AMY2A	AMY2A	AMY2A
VAV3	VAV3	VAV3	VAV3	VAV3
SLC25A24	SLC25A24	SLC25A24	SLC25A24	SLC25A24
HENMT1	HENMT1	HENMT1	HENMT1	HENMT1
PRPF38B	PRPF38B	PRPF38B	PRPF38B	PRPF38B
STXBP3	STXBP3	STXBP3	STXBP3	STXBP3
AKNAD1	AKNAD1	AKNAD1	AKNAD1	AKNAD1
GPSM2	GPSM2	GPSM2	GPSM2	GPSM2
CLCC1	CLCC1	CLCC1	CLCC1	CLCC1
KIAA1324	KIAA1324	KIAA1324	KIAA1324	KIAA1324
SARS	SARS	SARS	SARS	SARS
CELSR2	CELSR2	CELSR2	CELSR2	CELSR2
PSRC1	PSRC1	PSRC1	PSRC1	PSRC1
SORT1	SORT1	SORT1	SORT1	SORT1
PSMA5	PSMA5	PSMA5	PSMA5	PSMA5
CYB561D1	CYB561D1	CYB561D1	CYB561D1	CYB561D1
GPR61	GPR61	GPR61	GPR61	GPR61
GNAI3	GNAI3	GNAI3	GNAI3	GNAI3
GNAT2	GNAT2	GNAT2	GNAT2	GNAT2
AMPD2	AMPD2	AMPD2	AMPD2	AMPD2
GSTM4	GSTM4	GSTM4	GSTM4	GSTM4
GSTM2	GSTM2	GSTM2	GSTM2	GSTM2
GSTM1	GSTM1	GSTM1	GSTM1	GSTM1
GSTM5	GSTM5	GSTM5	GSTM5	GSTM5
GSTM3	GSTM3	GSTM3	GSTM3	GSTM3
EPS8L3	EPS8L3	EPS8L3	EPS8L3	EPS8L3
CSF1	CSF1	CSF1	CSF1	CSF1
AHCYL1	AHCYL1	AHCYL1	AHCYL1	AHCYL1
ALX3	ALX3	ALX3	ALX3	ALX3
UBL4B	UBL4B	UBL4B	UBL4B	UBL4B
KCNC4	KCNC4	KCNC4	KCNC4	KCNC4
RBM15	RBM15	RBM15	RBM15	RBM15
SLC16A4	SLC16A4	SLC16A4	SLC16A4	SLC16A4
HBXIP	LAMTOR5	LAMTOR5	LAMTOR5	LAMTOR5
PROK1	PROK1	PROK1	PROK1	PROK1
KCNA10	KCNA10	KCNA10	KCNA10	KCNA10
KCNA2	KCNA2	KCNA2	KCNA2	KCNA2
KCNA3	KCNA3	KCNA3	KCNA3	KCNA3
CD53	CD53	CD53	CD53	CD53
CEPT1	CEPT1	CEPT1	CEPT1	CEPT1
DENND2D	DENND2D	DENND2D	DENND2D	DENND2D
CHIA	CHIA	CHIA	CHIA	CHIA
C1orf88	PIFO	PIFO	PIFO	PIFO
OVGP1	OVGP1	OVGP1	OVGP1	OVGP1
WDR77	WDR77	WDR77	WDR77	WDR77
ATP5F1	ATP5F1	ATP5F1	ATP5F1	ATP5F1
C1orf162	C1orf162	C1orf162	C1orf162	C1orf162
ADORA3	ADORA3	ADORA3	ADORA3	ADORA3
RAP1A	RAP1A	RAP1A	RAP1A	RAP1A
FAM212B	FAM212B	FAM212B	FAM212B	FAM212B
DDX20	DDX20	DDX20	DDX20	DDX20
KCND3	KCND3	KCND3	KCND3	KCND3
CTTNBP2NL	CTTNBP2NL	CTTNBP2NL	CTTNBP2NL	CTTNBP2NL
WNT2B	WNT2B	WNT2B	WNT2B	WNT2B
ST7L	ST7L	ST7L	ST7L	ST7L
MOV10	MOV10	MOV10	MOV10	MOV10
RHOC	RHOC	RHOC	RHOC	RHOC
PPM1J	PPM1J	PPM1J	PPM1J	PPM1J
FAM19A3	FAM19A3	FAM19A3	FAM19A3	FAM19A3
SLC16A1	SLC16A1	SLC16A1	SLC16A1	SLC16A1
MAGI3	MAGI3	MAGI3	MAGI3	MAGI3
PHTF1	PHTF1	PHTF1	PHTF1	PHTF1
RSBN1	RSBN1	RSBN1	RSBN1	RSBN1
PTPN22	PTPN22	PTPN22	PTPN22	PTPN22
AP4B1	AP4B1	AP4B1	AP4B1	AP4B1
DCLRE1B	DCLRE1B	DCLRE1B	DCLRE1B	DCLRE1B
HIPK1	HIPK1	HIPK1	HIPK1	HIPK1
OLFML3	OLFML3	OLFML3	OLFML3	OLFML3
SYT6	SYT6	SYT6	SYT6	SYT6
TRIM33	TRIM33	TRIM33	TRIM33	TRIM33
BCAS2	BCAS2	BCAS2	BCAS2	BCAS2
DENND2C	DENND2C	DENND2C	DENND2C	DENND2C
AMPD1	AMPD1	AMPD1	AMPD1	AMPD1
NRAS	NRAS	NRAS	NRAS	NRAS
SIKE1	SIKE1	SIKE1	SIKE1	SIKE1
SYCP1	SYCP1	SYCP1	SYCP1	SYCP1
TSHB	TSHB	TSHB	TSHB	TSHB
TSPAN2	TSPAN2	TSPAN2	TSPAN2	TSPAN2
NGF	NGF	NGF	NGF	NGF
VANGL1	VANGL1	VANGL1	VANGL1	VANGL1
CASQ2	CASQ2	CASQ2	CASQ2	CASQ2
NHLH2	NHLH2	NHLH2	NHLH2	NHLH2
MAB21L3	MAB21L3	MAB21L3	MAB21L3	MAB21L3
ATP1A1	ATP1A1	ATP1A1	ATP1A1	ATP1A1
CD58	CD58	CD58	CD58	CD58
CD2	CD2	CD2	CD2	CD2
PTGFRN	PTGFRN	PTGFRN	PTGFRN	PTGFRN
CD101	CD101	CD101	CD101	CD101
TTF2	TTF2	TTF2	TTF2	TTF2
TRIM45	TRIM45	TRIM45	TRIM45	TRIM45
VTCN1	VTCN1	VTCN1	VTCN1	VTCN1
MAN1A2	MAN1A2	MAN1A2	MAN1A2	MAN1A2
FAM46C	FAM46C	FAM46C	FAM46C	FAM46C
GDAP2	GDAP2	GDAP2	GDAP2	GDAP2
WDR3	WDR3	WDR3	WDR3	WDR3
SPAG17	SPAG17	SPAG17	SPAG17	SPAG17
WARS2	WARS2	WARS2	WARS2	WARS2
HAO2	HAO2	HAO2	HAO2	HAO2
HSD3B2	HSD3B2	HSD3B2	HSD3B2	HSD3B2
HSD3B1	HSD3B1	HSD3B1	HSD3B1	HSD3B1
PHGDH	PHGDH	PHGDH	PHGDH	PHGDH
HMGCS2	HMGCS2	HMGCS2	HMGCS2	HMGCS2
REG4	REG4	REG4	REG4	REG4
ADAM30	ADAM30	ADAM30	ADAM30	ADAM30
NOTCH2	NOTCH2	NOTCH2	NOTCH2	NOTCH2
NOTCH2NL	NOTCH2NL	NOTCH2NL	NOTCH2NL	NOTCH2NL
HFE2	HFE2	HFE2	HFE2	HFE2
TXNIP	TXNIP	TXNIP	TXNIP	TXNIP
POLR3GL	POLR3GL	POLR3GL	POLR3GL	POLR3GL
LIX1L	LIX1L	LIX1L	LIX1L	LIX1L
RBM8A	RBM8A	RBM8A	RBM8A	RBM8A
PEX11B	PEX11B	PEX11B	PEX11B	PEX11B
ITGA10	ITGA10	ITGA10	ITGA10	ITGA10
ANKRD35	ANKRD35	ANKRD35	ANKRD35	ANKRD35
PIAS3	PIAS3	PIAS3	PIAS3	PIAS3
POLR3C	POLR3C	POLR3C	POLR3C	POLR3C
RNF115	RNF115	RNF115	RNF115	RNF115
CD160	CD160	CD160	CD160	CD160
PDZK1	PDZK1	PDZK1	PDZK1	PDZK1
PRKAB2	PRKAB2	PRKAB2	PRKAB2	PRKAB2
FMO5	FMO5	FMO5	FMO5	FMO5
CHD1L	CHD1L	CHD1L	CHD1L	CHD1L
ACP6	ACP6	ACP6	ACP6	ACP6
GJA5	GJA5	GJA5	GJA5	GJA5
GPR89B	GPR89B	GPR89B	GPR89B	GPR89B
NBPF15	NBPF15	NBPF15	NBPF15	NBPF15
FCGR1A	FCGR1A	FCGR1A	FCGR1A	FCGR1A
HIST2H2AA3	HIST2H2AA3	HIST2H2AA3	HIST2H2AA3	HIST2H2AA3
HIST2H2BE	HIST2H2BE	HIST2H2BE	HIST2H2BE	HIST2H2BE
HIST2H2AC	HIST2H2AC	HIST2H2AC	HIST2H2AC	HIST2H2AC
HIST2H2AB	HIST2H2AB	HIST2H2AB	HIST2H2AB	HIST2H2AB
BOLA1	BOLA1	BOLA1	BOLA1	BOLA1
SV2A	SV2A	SV2A	SV2A	SV2A
SF3B4	SF3B4	SF3B4	SF3B4	SF3B4
MTMR11	MTMR11	MTMR11	MTMR11	MTMR11
VPS45	VPS45	VPS45	VPS45	VPS45
PLEKHO1	PLEKHO1	PLEKHO1	PLEKHO1	PLEKHO1
ANP32E	ANP32E	ANP32E	ANP32E	ANP32E
CA14	CA14	CA14	CA14	CA14
C1orf54	C1orf54	C1orf54	C1orf54	C1orf54
C1orf51	C1orf51	C1orf51	C1orf51	C1orf51
MRPS21	MRPS21	MRPS21	MRPS21	MRPS21
PRPF3	PRPF3	PRPF3	PRPF3	PRPF3
TARS2	TARS2	TARS2	TARS2	TARS2
ECM1	ECM1	ECM1	ECM1	ECM1
ADAMTSL4	ADAMTSL4	ADAMTSL4	ADAMTSL4	ADAMTSL4
MCL1	MCL1	MCL1	MCL1	MCL1
ENSA	ENSA	ENSA	ENSA	ENSA
GOLPH3L	GOLPH3L	GOLPH3L	GOLPH3L	GOLPH3L
HORMAD1	HORMAD1	HORMAD1	HORMAD1	HORMAD1
CTSS	CTSS	CTSS	CTSS	CTSS
CTSK	CTSK	CTSK	CTSK	CTSK
ARNT	ARNT	ARNT	ARNT	ARNT
SETDB1	SETDB1	SETDB1	SETDB1	SETDB1
CERS2	CERS2	CERS2	CERS2	CERS2
ANXA9	ANXA9	ANXA9	ANXA9	ANXA9
FAM63A	FAM63A	FAM63A	FAM63A	FAM63A
PRUNE	PRUNE	PRUNE	PRUNE	PRUNE
BNIPL	BNIPL	BNIPL	BNIPL	BNIPL
C1orf56	C1orf56	C1orf56	C1orf56	C1orf56
CDC42SE1	CDC42SE1	CDC42SE1	CDC42SE1	CDC42SE1
MLLT11	MLLT11	MLLT11	MLLT11	MLLT11
GABPB2	GABPB2	GABPB2	GABPB2	GABPB2
SEMA6C	SEMA6C	SEMA6C	SEMA6C	SEMA6C
TNFAIP8L2	TNFAIP8L2	TNFAIP8L2	TNFAIP8L2	TNFAIP8L2
LYSMD1	LYSMD1	LYSMD1	LYSMD1	LYSMD1
SCNM1	SCNM1	SCNM1	SCNM1	SCNM1
TMOD4	TMOD4	TMOD4	TMOD4	TMOD4
VPS72	VPS72	VPS72	VPS72	VPS72
PIP5K1A	PIP5K1A	PIP5K1A	PIP5K1A	PIP5K1A
PSMD4	PSMD4	PSMD4	PSMD4	PSMD4
ZNF687	ZNF687	ZNF687	ZNF687	ZNF687
PI4KB	PI4KB	PI4KB	PI4KB	PI4KB
RFX5	RFX5	RFX5	RFX5	RFX5
SELENBP1	SELENBP1	SELENBP1	SELENBP1	SELENBP1
PSMB4	PSMB4	PSMB4	PSMB4	PSMB4
POGZ	POGZ	POGZ	POGZ	POGZ
CGN	CGN	CGN	CGN	CGN
TUFT1	TUFT1	TUFT1	TUFT1	TUFT1
SNX27	SNX27	SNX27	SNX27	SNX27
CELF3	CELF3	CELF3	CELF3	CELF3
MRPL9	MRPL9	MRPL9	MRPL9	MRPL9
RORC	RORC	RORC	RORC	RORC
THEM5	THEM5	THEM5	THEM5	THEM5
THEM4	THEM4	THEM4	THEM4	THEM4
S100A10	S100A10	S100A10	S100A10	S100A10
S100A11	S100A11	S100A11	S100A11	S100A11
CRNN	CRNN	CRNN	CRNN	CRNN
LCE5A	LCE5A	LCE5A	LCE5A	LCE5A
CRCT1	CRCT1	CRCT1	CRCT1	CRCT1
LCE3E	LCE3E	LCE3E	LCE3E	LCE3E
LCE3D	LCE3D	LCE3D	LCE3D	LCE3D
LCE3C	LCE3C	LCE3C	LCE3C	LCE3C
LCE3B	LCE3B	LCE3B	LCE3B	LCE3B
LCE3A	LCE3A	LCE3A	LCE3A	LCE3A
LCE2D	LCE2D	LCE2D	LCE2D	LCE2D
LCE2C	LCE2C	LCE2C	LCE2C	LCE2C
LCE2B	LCE2B	LCE2B	LCE2B	LCE2B
LCE2A	LCE2A	LCE2A	LCE2A	LCE2A
LCE4A	LCE4A	LCE4A	LCE4A	LCE4A
LCE1F	LCE1F	LCE1F	LCE1F	LCE1F
LCE1E	LCE1E	LCE1E	LCE1E	LCE1E
LCE1D	LCE1D	LCE1D	LCE1D	LCE1D
LCE1C	LCE1C	LCE1C	LCE1C	LCE1C
LCE1B	LCE1B	LCE1B	LCE1B	LCE1B
LCE1A	LCE1A	LCE1A	LCE1A	LCE1A
SMCP	SMCP	SMCP	SMCP	SMCP
IVL	IVL	IVL	IVL	IVL
SPRR4	SPRR4	SPRR4	SPRR4	SPRR4
SPRR1A	SPRR1A	SPRR1A	SPRR1A	SPRR1A
SPRR3	SPRR3	SPRR3	SPRR3	SPRR3
SPRR2A	SPRR2A	SPRR2A	SPRR2A	SPRR2A
PGLYRP3	PGLYRP3	PGLYRP3	PGLYRP3	PGLYRP3
S100A9	S100A9	S100A9	S100A9	S100A9
S100A12	S100A12	S100A12	S100A12	S100A12
S100A8	S100A8	S100A8	S100A8	S100A8
S100A7	S100A7	S100A7	S100A7	S100A7
S100A6	S100A6	S100A6	S100A6	S100A6
S100A5	S100A5	S100A5	S100A5	S100A5
S100A4	S100A4	S100A4	S100A4	S100A4
S100A3	S100A3	S100A3	S100A3	S100A3
S100A2	S100A2	S100A2	S100A2	S100A2
S100A16	S100A16	S100A16	S100A16	S100A16
S100A14	S100A14	S100A14	S100A14	S100A14
S100A1	S100A1	S100A1	S100A1	S100A1
CHTOP	CHTOP	CHTOP	CHTOP	CHTOP
SNAPIN	SNAPIN	SNAPIN	SNAPIN	SNAPIN
ILF2	ILF2	ILF2	ILF2	ILF2
NPR1	NPR1	NPR1	NPR1	NPR1
INTS3	INTS3	INTS3	INTS3	INTS3
SLC27A3	SLC27A3	SLC27A3	SLC27A3	SLC27A3
GATAD2B	GATAD2B	GATAD2B	GATAD2B	GATAD2B
SLC39A1	SLC39A1	SLC39A1	SLC39A1	SLC39A1
CREB3L4	CREB3L4	CREB3L4	CREB3L4	CREB3L4
JTB	JTB	JTB	JTB	JTB
RAB13	RAB13	RAB13	RAB13	RAB13
RPS27	RPS27	RPS27	RPS27	RPS27
TPM3	TPM3	TPM3	TPM3	TPM3
C1orf43	C1orf43	C1orf43	C1orf43	C1orf43
UBAP2L	UBAP2L	UBAP2L	UBAP2L	UBAP2L
HAX1	HAX1	HAX1	HAX1	HAX1
AQP10	AQP10	AQP10	AQP10	AQP10
ATP8B2	ATP8B2	ATP8B2	ATP8B2	ATP8B2
IL6R	IL6R	IL6R	IL6R	IL6R
UBE2Q1	UBE2Q1	UBE2Q1	UBE2Q1	UBE2Q1
CHRNB2	CHRNB2	CHRNB2	CHRNB2	CHRNB2
ADAR	ADAR	ADAR	ADAR	ADAR
KCNN3	KCNN3	KCNN3	KCNN3	KCNN3
PMVK	PMVK	PMVK	PMVK	PMVK
PBXIP1	PBXIP1	PBXIP1	PBXIP1	PBXIP1
PYGO2	PYGO2	PYGO2	PYGO2	PYGO2
SHC1	SHC1	SHC1	SHC1	SHC1
CKS1B	CKS1B	CKS1B	CKS1B	CKS1B
FLAD1	FLAD1	FLAD1	FLAD1	FLAD1
LENEP	LENEP	LENEP	LENEP	LENEP
ZBTB7B	ZBTB7B	ZBTB7B	ZBTB7B	ZBTB7B
DCST2	DCST2	DCST2	DCST2	DCST2
DCST1	DCST1	DCST1	DCST1	DCST1
ADAM15	ADAM15	ADAM15	ADAM15	ADAM15
EFNA4	EFNA4	EFNA4	EFNA4	EFNA4
EFNA3	EFNA3	EFNA3	EFNA3	EFNA3
EFNA1	EFNA1	EFNA1	EFNA1	EFNA1
SLC50A1	SLC50A1	SLC50A1	SLC50A1	SLC50A1
DPM3	DPM3	DPM3	DPM3	DPM3
KRTCAP2	KRTCAP2	KRTCAP2	KRTCAP2	KRTCAP2
TRIM46	TRIM46	TRIM46	TRIM46	TRIM46
MUC1	MUC1	MUC1	MUC1	MUC1
THBS3	THBS3	THBS3	THBS3	THBS3
MTX1	MTX1	MTX1	MTX1	MTX1
GBA	GBA	GBA	GBA	GBA
FAM189B	FAM189B	FAM189B	FAM189B	FAM189B
SCAMP3	SCAMP3	SCAMP3	SCAMP3	SCAMP3
CLK2	CLK2	CLK2	CLK2	CLK2
HCN3	HCN3	HCN3	HCN3	HCN3
PKLR	PKLR	PKLR	PKLR	PKLR
FDPS	FDPS	FDPS	FDPS	FDPS
RUSC1	RUSC1	RUSC1	RUSC1	RUSC1
ASH1L	ASH1L	ASH1L	ASH1L	ASH1L
MSTO1	MSTO1	MSTO1	MSTO1	MSTO1
YY1AP1	YY1AP1	YY1AP1	YY1AP1	YY1AP1
DAP3	DAP3	DAP3	DAP3	DAP3
GON4L	GON4L	GON4L	GON4L	GON4L
SYT11	SYT11	SYT11	SYT11	SYT11
RIT1	RIT1	RIT1	RIT1	RIT1
RXFP4	RXFP4	RXFP4	RXFP4	RXFP4
ARHGEF2	ARHGEF2	ARHGEF2	ARHGEF2	ARHGEF2
SSR2	SSR2	SSR2	SSR2	SSR2
